batch,market,brand,product_name,mg_per_pouch,source_type,source_url,checked_at,calculation
1,US,ALP,ALP Mountain Wintergreen 3mg,3,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,ALP,ALP Mountain Wintergreen 9mg,9,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,ALP,ALP Refreshing Chill 3mg,3,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,ALP,ALP Refreshing Chill 6mg,6,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,ALP,ALP Refreshing Chill 9mg,9,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,ALP,ALP Sweet Nectar 3mg,3,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,ALP,ALP Sweet Nectar 6mg,6,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,ALP,ALP Sweet Nectar 9mg,9,specialist retailer,https://nicokick.com/us/nicotine-pouches/alp,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Cool Mint 15mg,15,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Wintergreen 3mg,3,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Wintergreen 9mg,9,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Wintergreen 12mg,12,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Wintergreen 15mg,15,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Spearmint 3mg,3,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Spearmint 6mg,6,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Spearmint 9mg,9,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
1,US,CLEW,CLEW Spearmint 12mg,12,specialist retailer,https://nicokick.com/us/nicotine-pouches/clew,2026-08-14,direct mg/pouch
